id$line$contents$class_name$class_value$path
block_comments.c:1$1$/*$start$1.0$block_comments.c
block_comments.c:2$2$* comment line$ignore$0.0$block_comments.c
block_comments.c:3$3$*$ignore$0.0$block_comments.c
block_comments.c:4$4$ *$ignore$0.0$block_comments.c
block_comments.c:5$5$*/$end$2.0$block_comments.c
block_comments.c:6$6$$ignore$0.0$block_comments.c
block_comments.c:7$7$int i = 10; /* co */$start_end$3.0$block_comments.c
block_comments.c:8$8$$ignore$0.0$block_comments.c
block_comments.c:9$9$/* co */ $start_end$3.0$block_comments.c
block_comments.c:10$10$$ignore$0.0$block_comments.c
block_comments.c:11$11$/* int i = 10$start$1.0$block_comments.c
block_comments.c:12$12$* i = 10$ignore$0.0$block_comments.c
block_comments.c:13$13$*/$end$2.0$block_comments.c
block_comments.c:14$14$$ignore$0.0$block_comments.c
block_comments.c:15$15$int i = 10;$ignore$0.0$block_comments.c
block_comments.c:16$16$$ignore$0.0$block_comments.c
block_comments.c:17$17$/*$start$1.0$block_comments.c
block_comments.c:18$18$$ignore$0.0$block_comments.c
block_comments.c:19$19$$ignore$0.0$block_comments.c
block_comments.c:20$20$$ignore$0.0$block_comments.c
block_comments.c:21$21$$ignore$0.0$block_comments.c
block_comments.c:22$22$$ignore$0.0$block_comments.c
block_comments.c:23$23$$ignore$0.0$block_comments.c
block_comments.c:24$24$/* int i = 10;$end$2.0$block_comments.c
block_comments.c:25$25$$ignore$0.0$block_comments.c
block_comments.c:26$26$$ignore$0.0$block_comments.c
block_comments.c:27$27$$ignore$0.0$block_comments.c
tests/candevicetest.cpp:255$255$    QSignalSpy frameSentSpy(&canDevice, &CanDevice::frameSent);$ignore$0.0$tests/candevicetest.cpp
src/components/projectconfig/projectconfig.h:47$47$#endif // PROJECTCONFIG_H$start_end$3.0$src/components/projectconfig/projectconfig.h
src/components/canrawsender/newlinemanager.cpp:167$167$        _loop->setState(true); // get possibility to write interval data$start_end$3.0$src/components/canrawsender/newlinemanager.cpp
src/common/modelvisitor.h:29$29$ *  // or apply_model_visitor(*m, std::move(std::ref(v)));$start_end$3.0$src/common/modelvisitor.h
src/components/canrawsender/canrawsender_p.h:17$17$/// \class CanRawSenderPrivate$start_end$3.0$src/components/canrawsender/canrawsender_p.h
src/common/enumiterator.h:83$83$    // }$start_end$3.0$src/common/enumiterator.h
src/components/canrawplayer/canrawplayer_p.cpp:81$81$            unsigned int time = static_cast<unsigned int>(std::stof(match.captured(1).toStdString()) * 1000 + 0.5);$ignore$0.0$src/components/canrawplayer/canrawplayer_p.cpp
src/components/projectconfig/iconlabel.h:27$27$        QRectF boundary2(1, 1, pix.width()-2, pix.height()/2 - 2);$ignore$0.0$src/components/projectconfig/iconlabel.h
src/common/enumiterator.h:36$36$     * @{ */$end$2.0$src/common/enumiterator.h
src/common/visitor.h:37$37$ * @see http://insooth.github.io/visitor-pattern.md for an article$ignore$0.0$src/common/visitor.h
src/common/enumiterator.h:22$22$ * @see http://en.cppreference.com/w/cpp/concept/ForwardIterator$ignore$0.0$src/common/enumiterator.h
